model,year,colour,ovrl_grade,int_grade,ext_grade,mileage,start_price,final_price,auc_date
e400,2017,white,3.5,B,B,170926,0,1017000,23/05/2025
e400,2017,white,4.5,B,,61000,750000,2065000,22/05/2025
e400,2018,white,4.5,B,,48000,1200000,2025000,17/05/2025
e400,2018,white,4,B,B,103000,240000,1323000,16/05/2025
e400,2017,navy,4.5,B,,56000,700000,1860000,10/05/2025
e400,2017,black,4,B,,21000,1350000,2280000,24/04/2025
e400,2017,white,3.5,B,C,144000,0,1107000,28/03/2025
e400,2018,black,4,B,,122000,975000,1075000,27/03/2025
e400,2017,black,4,C,C,91000,50000,1250000,26/03/2025
e43,2018,black,4,C,B,77000,1480000,2506000,23/05/2025
e43,2017,navy,4,,,70000,1900000,2690000,28/04/2025
e43,2017,black,4,B,,105000,1280000,2240000,5/04/2025
e43,2017,black,4,B,B,105000,980000,2102000,5/04/2025
e43,2017,white,4,C,C,61000,2150000,2588000,27/03/2025
e43,2018,black,3.5,B,,158000,1425000,1525000,20/03/2025
e43,2018,white,5,A,B,23000,2970000,3620000,19/03/2025
e43,2018,white,4.5,B,B,52000,2800000,3085000,28/02/2025
e400,2018,grey,4,B,,63000,980000,2260000,31/05/2025
e43,2018,black,4,B,,77000,1880000,2815000,31/05/2025
e400,2017,black,4.5,B,,30000,1100000,2195000,12/06/2025
e43,2017,grey,4.5,C,B,54000,1470000,3267000,21/06/2025
e43,2017,black,4.5,B,,55000,1780000,2890000,21/06/2025
e43,2017,black,4.5,B,,68000,1750000,2550000,28/06/2025
e43,2017,red,4,C,B,101000,1250000,1877000,31/07/2025
e400,2017,Silver,4.5,B,,42000,880000,1920000,21/08/2025
e400,2017,Black,4,B,,137000,250000,1165000,23/08/2025
e400,2017,Black,4,C,B,133907,480000,1131000,29/08/2025
e400,2018,White,3.5,B,,180000,80000,1090000,4/09/2025
e400,2017,Black,3.5,B,C,117566,200000,1106000,5/09/2025
e400,2017,Black,3.5,B,,134000,580000,1210000,10/09/2025
e400,2017,Black,4,B,,118000,480000,1145000,10/09/2025
e400,2017,Black,4,B,,107000,0,1270000,11/09/2025
e400,2018,White,4.5,B,,39000,980000,1895000,13/09/2025
e400,2018,White,4.5,B,,51000,1080000,1925000,13/09/2025
e400,2018,White,3.5,B,,73000,350000,1275000,18/09/2025
e400,2017,Silver,4,B,,91000,80000,1560000,19/09/2025
e400,2017,White,4,B,,62000,1050000,1400000,19/09/2025
e400,2018,Black,4.5,B,,94000,20000,1270000,25/09/2025
e400,2017,Black,R,,,78224,180000,837000,26/09/2025
e400,2017,White,4,B,,62000,850000,1565000,1/10/2025
e400,2018,Black,4.5,B,,94000,650000,1350000,1/10/2025
e400,2018,Silver,4,B,,56000,1200000,1830000,10/10/2025
e400,2017,Silver,4,B,,62000,500000,1670000,15/10/2025
e400,2018,White,4.5,B,,17000,1000000,2495000,15/10/2025
e400,2018,White,4.5,B,,52000,880000,2370000,16/10/2025
e400,2017,Blue,3.5,C,C,226000,8000,839000,20/10/2025
e400,2017,Black,4,B,,103000,490000,1270000,22/10/2025
e400,2017,Black,4.5,B,,71000,730000,1440000,6/11/2025
e400,2017,Black,4,B,,24000,880000,2430000,6/11/2025
e400,2016,White,4,B,,72000,550000,1445000,11/11/2025
e400,2017,Silver,4,B,,112000,580000,1110000,12/11/2025
e400,2017,Black,4.5,B,,71000,780000,1740000,12/11/2025
e400,2018,White,4.5,B,,33000,1000000,2025000,14/11/2025
e400,2017,White,4.5,B,,44000,980000,1975000,20/11/2025
e400,2016,Silver,4.5,B,,78000,480000,1460000,20/11/2025
e400,2016,Blue,4.5,B,,38000,500000,1965000,22/11/2025
e400,2018,Black,4.5,B,,40000,1480000,2510000,27/11/2025
e400,2017,Blue,R,B,,79000,480000,1270000,28/11/2025
e400,2016,Silver,4.5,B,,61000,650000,1480000,4/12/2025
e43,2018,Black,3,C,E,116000,1200000,1536000,23/08/2025
e43,2018,Silver,3.5,B,,166000,600000,1510000,28/08/2025
e43,2017,White,4.5,B,,63000,1780000,2910000,29/08/2025
e43,2017,White,4.5,B,,66000,1980000,3185000,30/08/2025
e43,2017,Black,4,B,,70000,1400000,2740000,3/09/2025
e43,2018,Black,4.5,B,,31000,2500000,3790000,4/09/2025
e43,2018,Black,3.5,B,,160000,950000,1535000,17/09/2025
e43,2017,Silver,4,B,,123000,600000,1770000,18/09/2025
e43,2017,White,4.5,B,,68000,1300000,2770000,18/09/2025
e43,2017,White,4,B,,143000,1480000,1995000,24/09/2025
e43,2018,Black,4.5,B,,44000,2180000,3590000,25/09/2025
e43,2018,White,4,B,,137000,1380000,1505000,25/09/2025
e43,2018,White,R,C,C,119559,500000,1595000,26/09/2025
e43,2018,White,4.5,B,,55000,1800000,3160000,2/10/2025
e43,2017,Black,4,B,,128000,1080000,1900000,2/10/2025
e43,2017,Black,4,B,,103000,880000,2070000,2/10/2025
e43,2018,Black,4,B,,86000,1380000,1955000,4/10/2025
e43,2017,Black,4.5,B,,50000,2200000,3270000,9/10/2025
e43,2017,White,4.5,B,,58000,2180000,3190000,9/10/2025
e43,2017,Black,4.5,B,,48000,1880000,3290000,9/10/2025
e43,2017,White,4,B,B,56000,1800000,3081000,14/10/2025
e43,2017,White,4.5,B,,57000,2000000,3180000,15/10/2025
e43,2018,White,4.5,B,,17000,2680000,3980000,16/10/2025
e43,2017,Grey,4.5,B,,96000,780000,2090000,23/10/2025
e43,2017,Grey,4.5,B,B,77000,1327000,2800000,24/10/2025
e43,2018,White,R,B,,120000,800000,1390000,30/10/2025
e43,2017,Black,4,B,,113000,980000,1845000,1/11/2025
e43,2017,White,4.5,B,,61000,1880000,2940000,6/11/2025
e43,2017,White,4,B,,124000,1100000,1935000,8/11/2025
e43,2018,Silver,4.5,B,,57000,1780000,2735000,8/11/2025
e43,2018,White,4,B,,137000,690000,1560000,8/11/2025
e43,2017,White,4,B,,128000,600000,1745000,11/11/2025
e43,2017,White,4.5,B,,52000,2000000,3185000,11/11/2025
e43,2017,Black,4,B,,65000,1770000,2840000,13/11/2025
e43,2017,Black,4.5,B,,59000,1980000,2930000,13/11/2025
e43,2017,Black,4.5,B,,75000,1780000,2850000,20/11/2025
e43,2017,Blue,4.5,B,,82000,1480000,2330000,20/11/2025
e43,2017,White,4.5,B,,66000,1380000,2990000,21/11/2025
e43,2018,Black,4.5,B,,51000,2190000,3070000,22/11/2025
e43,2017,Blue,4.5,B,,82000,1590000,2450000,26/11/2025
e43,2018,Black,4.5,B,,68000,1280000,2870000,27/11/2025
e43,2017,White,4.5,B,,57000,2280000,3180000,27/11/2025
e43,2017,White,4.5,B,,40000,2000000,3400000,5/12/2025
e53,2018,White,4.5,B,,83000,1980000,3350000,21/08/2025
e53,2020,Silver,4.5,B,,46000,2800000,4040000,21/08/2025
e53,2020,Silver,5,A,,22000,3480000,4500000,21/08/2025
e53,2018,black,4.5,B,,30000,4155000,4310000,4/09/2025
e53,2018,Red,4.5,B,,17000,2700000,4485000,9/09/2025
e53,2019,White,4.5,B,,22000,3400000,4780000,13/09/2025
e53,2022,Black,4,B,,20000,4850000,5920000,16/09/2025
e53,2019,Blue,4.5,B,,51000,1950000,4365000,18/09/2025
e53,2024,White,4.5,A,,26000,4480000,5935000,18/09/2025
e53,2022,White,4.5,B,,29000,4880000,5770000,18/09/2025
e53,2021,White,4.5,B,,28000,4150000,5890000,19/09/2025
e53,2020,White,4.5,B,,34000,2650000,4605000,23/09/2025
e53,2022,Silver,4.5,B,,28000,4480000,5770000,25/09/2025
e53,2024,White,4.5,B,,17000,5995000,6180000,27/09/2025
e53,2018,White,5,B,A,34075,3500000,4388000,30/09/2025
e53,2022,Black,4.5,A,,20000,4980000,6125000,1/10/2025
e53,2018,Black,4.5,A,,13000,3400000,4600000,2/10/2025
e53,2018,Black,4.5,B,,78000,1980000,3460000,9/10/2025
e53,2021,Grey,4.5,B,,23000,4950000,6520000,10/10/2025
e53,2019,White,4.5,B,,48000,2580000,3820000,16/10/2025
e53,2019,White,3,B,B,71704,1680000,3264000,24/10/2025
e53,2018,White,4.5,B,,48000,1600000,3765000,28/10/2025
e53,2018,Silver,4.5,B,,41000,1900000,3570000,28/10/2025
e53,2021,Black,4.5,B,,66000,3200000,4360000,10/11/2025
e53,2021,Blue,5,A,,16000,4380000,6110000,20/11/2025
e53,2022,Grey,4.5,B,,24000,4680000,5640000,20/11/2025
e53,2023,Black,4.5,B,,44000,3780000,5650000,27/11/2025
e53,2021,Black,4.5,B,,67000,3680000,5030000,4/12/2025
e53,2019,grey,4.5,B,,68000,1890000,3270000,4/12/2025
e53,2019,Black,4.5,B,,90000,1980000,3000000,4/12/2025
e53,2019,White,4.5,B,,51000,2780000,3910000,4/12/2025
