model,year,colour,ovrl_grade,int_grade,ext_grade,mileage,start_price,final_price,auc_date
e400,2017,Silver,4.5,B,,42000,880000,1920000,21/08/2025
e400,2017,Black,4,B,,137000,250000,1165000,23/08/2025
e400,2017,Black,4,C,B,133907,480000,1131000,29/08/2025
e400,2018,White,3.5,B,,180000,80000,1090000,4/09/2025
e400,2017,Black,3.5,B,C,117566,200000,1106000,5/09/2025
e400,2017,Black,3.5,B,,134000,580000,1210000,10/09/2025
e400,2017,Black,4,B,,118000,480000,1145000,10/09/2025
e400,2017,Black,4,B,,107000,0,1270000,11/09/2025
e400,2018,White,4.5,B,,39000,980000,1895000,13/09/2025
e400,2018,White,4.5,B,,51000,1080000,1925000,13/09/2025
e400,2018,White,3.5,B,,73000,350000,1275000,18/09/2025
e400,2017,Silver,4,B,,91000,80000,1560000,19/09/2025
e400,2017,White,4,B,,62000,1050000,1400000,19/09/2025
e400,2018,Black,4.5,B,,94000,20000,1270000,25/09/2025
e400,2017,Black,R,,,78224,180000,837000,26/09/2025
e400,2017,White,4,B,,62000,850000,1565000,1/10/2025
e400,2018,Black,4.5,B,,94000,650000,1350000,1/10/2025
e400,2018,Silver,4,B,,56000,1200000,1830000,10/10/2025
e400,2017,Silver,4,B,,62000,500000,1670000,15/10/2025
e400,2018,White,4.5,B,,17000,1000000,2495000,15/10/2025
e400,2018,White,4.5,B,,52000,880000,2370000,16/10/2025
e400,2017,Blue,3.5,C,C,226000,8000,839000,20/10/2025
e400,2017,Black,4,B,,103000,490000,1270000,22/10/2025
e400,2017,Black,4.5,B,,71000,730000,1440000,6/11/2025
e400,2017,Black,4,B,,24000,880000,2430000,6/11/2025
e400,2016,White,4,B,,72000,550000,1445000,11/11/2025
e400,2017,Silver,4,B,,112000,580000,1110000,12/11/2025
e400,2017,Black,4.5,B,,71000,780000,1740000,12/11/2025
e400,2018,White,4.5,B,,33000,1000000,2025000,14/11/2025
e400,2017,White,4.5,B,,44000,980000,1975000,20/11/2025
e400,2016,Silver,4.5,B,,78000,480000,1460000,20/11/2025
e400,2016,Blue,4.5,B,,38000,500000,1965000,22/11/2025
e400,2018,Black,4.5,B,,40000,1480000,2510000,27/11/2025
e400,2017,Blue,R,B,,79000,480000,1270000,28/11/2025
e400,2016,Silver,4.5,B,,61000,650000,1480000,4/12/2025
